username,handle,content,timestamp,retweets,likes,replies,tweet_id,matched_keywords,sentiment_score,sentiment_label,confidence,hazard_category,source,location,verified
OceanWatch,oceanwatch,Massive tsunami warning issued for Pacific coast. Waves up to 15 feet expected. Evacuate immediately! #tsunami #safety,2024-09-10 14:30,1200,2500,300,mock_1,['tsunami'],-0.16249999999999998,negative,0.24374999999999997,tsunami,MOCK_DATA,,True
WeatherAlert,weatheralert,Hurricane forming in the Atlantic. Storm surge could reach 20 feet along the coast. Prepare now! #hurricane #stormsurge,2024-09-10 12:15,800,1500,200,mock_2,"['storm surge', 'hurricane']",0.0,neutral,0.0,storms,MOCK_DATA,,True
ClimateScientist,climatescience,Rising sea levels are accelerating coastal erosion worldwide. We need immediate action on climate change.,2024-09-10 10:00,600,1200,150,mock_3,"['coastal erosion', 'rising sea levels']",0.1,neutral,0.15000000000000002,flooding,MOCK_DATA,,False
MarineBiology,marinebio,Coral bleaching event spreading across the Pacific. Ocean warming is devastating marine ecosystems.,2024-09-10 08:45,400,900,100,mock_4,"['ocean warming', 'coral bleaching', 'marine ecosystem']",-1.0,negative,1.0,climate,MOCK_DATA,,False
EmergencyMgmt,emergency_mgmt,Oil spill reported 50 miles offshore. Marine pollution cleanup crews deployed. Wildlife evacuation underway.,2024-09-10 06:30,750,1100,180,mock_5,"['marine pollution', 'oil spill']",-0.3,negative,0.44999999999999996,pollution,MOCK_DATA,,True
OceanWatch,oceanwatch,Massive tsunami warning issued for Pacific coast. Waves up to 15 feet expected. Evacuate immediately! #tsunami #safety,2025-09-11 01:05,1200,2500,300,mock_6,['tsunami'],-0.16249999999999998,negative,0.24374999999999997,tsunami,MOCK_DATA,,True
MarineBiology,marinebio,Coral bleaching event spreading across the Pacific. Ocean warming is devastating marine ecosystems.,2025-09-11 01:05,400,900,100,mock_7,"['ocean warming', 'coral bleaching', 'marine ecosystem']",-1.0,negative,1.0,climate,MOCK_DATA,,False
OceanWatch,oceanwatch,Massive tsunami warning issued for Pacific coast. Waves up to 15 feet expected. Evacuate immediately! #tsunami #safety,2025-09-11 01:05,1200,2500,300,mock_8,['tsunami'],-0.16249999999999998,negative,0.24374999999999997,tsunami,MOCK_DATA,,True
ClimateScientist,climatescience,Rising sea levels are accelerating coastal erosion worldwide. We need immediate action on climate change.,2025-09-11 01:05,600,1200,150,mock_9,"['coastal erosion', 'rising sea levels']",0.1,neutral,0.15000000000000002,flooding,MOCK_DATA,,False
MarineBiology,marinebio,Coral bleaching event spreading across the Pacific. Ocean warming is devastating marine ecosystems.,2025-09-11 01:05,400,900,100,mock_10,"['ocean warming', 'coral bleaching', 'marine ecosystem']",-1.0,negative,1.0,climate,MOCK_DATA,,False
MarineBiology,marinebio,Coral bleaching event spreading across the Pacific. Ocean warming is devastating marine ecosystems.,2025-09-11 01:05,400,900,100,mock_11,"['ocean warming', 'coral bleaching', 'marine ecosystem']",-1.0,negative,1.0,climate,MOCK_DATA,,False
EmergencyMgmt,emergency_mgmt,Oil spill reported 50 miles offshore. Marine pollution cleanup crews deployed. Wildlife evacuation underway.,2025-09-11 01:05,750,1100,180,mock_12,"['marine pollution', 'oil spill']",-0.3,negative,0.44999999999999996,pollution,MOCK_DATA,,True
WeatherAlert,weatheralert,Hurricane forming in the Atlantic. Storm surge could reach 20 feet along the coast. Prepare now! #hurricane #stormsurge,2025-09-11 01:05,800,1500,200,mock_13,"['storm surge', 'hurricane']",0.0,neutral,0.0,storms,MOCK_DATA,,True
OceanWatch,oceanwatch,Massive tsunami warning issued for Pacific coast. Waves up to 15 feet expected. Evacuate immediately! #tsunami #safety,2025-09-11 01:05,1200,2500,300,mock_14,['tsunami'],-0.16249999999999998,negative,0.24374999999999997,tsunami,MOCK_DATA,,True
WeatherAlert,weatheralert,Hurricane forming in the Atlantic. Storm surge could reach 20 feet along the coast. Prepare now! #hurricane #stormsurge,2025-09-11 01:05,800,1500,200,mock_15,"['storm surge', 'hurricane']",0.0,neutral,0.0,storms,MOCK_DATA,,True
EmergencyMgmt,emergency_mgmt,Oil spill reported 50 miles offshore. Marine pollution cleanup crews deployed. Wildlife evacuation underway.,2025-09-11 01:05,750,1100,180,mock_16,"['marine pollution', 'oil spill']",-0.3,negative,0.44999999999999996,pollution,MOCK_DATA,,True
OceanWatch,oceanwatch,Massive tsunami warning issued for Pacific coast. Waves up to 15 feet expected. Evacuate immediately! #tsunami #safety,2025-09-11 01:05,1200,2500,300,mock_17,['tsunami'],-0.16249999999999998,negative,0.24374999999999997,tsunami,MOCK_DATA,,True
ClimateScientist,climatescience,Rising sea levels are accelerating coastal erosion worldwide. We need immediate action on climate change.,2025-09-11 01:05,600,1200,150,mock_18,"['coastal erosion', 'rising sea levels']",0.1,neutral,0.15000000000000002,flooding,MOCK_DATA,,False
